year,homicide_type,Combined
2004,Other,"2004,Other"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Stabbing,"2004,Stabbing"
2004,Stabbing,"2004,Stabbing"
2004,Shooting,"2004,Shooting"
2004,Other,"2004,Other"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Stabbing,"2004,Stabbing"
2004,Other,"2004,Other"
2004,Other,"2004,Other"
2004,Other,"2004,Other"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Stabbing,"2004,Stabbing"
2004,Other,"2004,Other"
2004,Other,"2004,Other"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Other,"2004,Other"
2004,Other,"2004,Other"
2004,Shooting,"2004,Shooting"
2004,Stabbing,"2004,Stabbing"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Stabbing,"2004,Stabbing"
2004,Stabbing,"2004,Stabbing"
2004,Stabbing,"2004,Stabbing"
2004,Stabbing,"2004,Stabbing"
2004,Other,"2004,Other"
2004,Shooting,"2004,Shooting"
2004,Other,"2004,Other"
2004,Shooting,"2004,Shooting"
2004,Other,"2004,Other"
2004,Stabbing,"2004,Stabbing"
2004,Stabbing,"2004,Stabbing"
2004,Shooting,"2004,Shooting"
2004,Other,"2004,Other"
2004,Stabbing,"2004,Stabbing"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Other,"2004,Other"
2004,Other,"2004,Other"
2004,Shooting,"2004,Shooting"
2004,Other,"2004,Other"
2004,Other,"2004,Other"
2004,Other,"2004,Other"
2004,Stabbing,"2004,Stabbing"
2004,Stabbing,"2004,Stabbing"
2004,Other,"2004,Other"
2004,Stabbing,"2004,Stabbing"
2004,Stabbing,"2004,Stabbing"
2004,Stabbing,"2004,Stabbing"
2004,Stabbing,"2004,Stabbing"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Shooting,"2004,Shooting"
2004,Stabbing,"2004,Stabbing"
2005,Stabbing,"2005,Stabbing"
2005,Stabbing,"2005,Stabbing"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Other,"2005,Other"
2005,Other,"2005,Other"
2005,Shooting,"2005,Shooting"
2005,Other,"2005,Other"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Other,"2005,Other"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Stabbing,"2005,Stabbing"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Other,"2005,Other"
2005,Shooting,"2005,Shooting"
2005,Stabbing,"2005,Stabbing"
2005,Shooting,"2005,Shooting"
2005,Stabbing,"2005,Stabbing"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Stabbing,"2005,Stabbing"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Stabbing,"2005,Stabbing"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Other,"2005,Other"
2005,Other,"2005,Other"
2005,Shooting,"2005,Shooting"
2005,Other,"2005,Other"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
2005,Shooting,"2005,Shooting"
