year,homicide_type,day
2004,Other,Saturday
2004,Shooting,Thursday
2004,Shooting,Thursday
2004,Shooting,Sunday
2004,Shooting,Sunday
2004,Stabbing,Friday
2004,Stabbing,Friday
2004,Shooting,Saturday
2004,Other,Saturday
2004,Shooting,Wednesday
2004,Shooting,Wednesday
2004,Shooting,Wednesday
2004,Shooting,Thursday
2004,Stabbing,Saturday
2004,Other,Thursday
2004,Other,Wednesday
2004,Other,Thursday
2004,Shooting,Tuesday
2004,Shooting,Saturday
2004,Shooting,Saturday
2004,Stabbing,Wednesday
2004,Other,Thursday
2004,Other,Friday
2004,Shooting,Friday
2004,Shooting,Saturday
2004,Other,Tuesday
2004,Other,Tuesday
2004,Shooting,Friday
2004,Stabbing,Friday
2004,Shooting,Saturday
2004,Shooting,Thursday
2004,Stabbing,Monday
2004,Stabbing,Wednesday
2004,Stabbing,Thursday
2004,Stabbing,Friday
2004,Other,Monday
2004,Shooting,Wednesday
2004,Other,Friday
2004,Shooting,Saturday
2004,Other,Thursday
2004,Stabbing,Wednesday
2004,Stabbing,Thursday
2004,Shooting,Monday
2004,Other,Monday
2004,Stabbing,Tuesday
2004,Shooting,Sunday
2004,Shooting,Tuesday
2004,Other,Wednesday
2004,Other,Friday
2004,Shooting,Friday
2004,Other,Thursday
2004,Other,Wednesday
2004,Other,Friday
2004,Stabbing,Wednesday
2004,Stabbing,Wednesday
2004,Other,Thursday
2004,Stabbing,Friday
2004,Stabbing,Saturday
2004,Stabbing,Saturday
2004,Stabbing,Sunday
2004,Shooting,Sunday
2004,Shooting,Sunday
2004,Shooting,Monday
2004,Stabbing,Friday
2005,Stabbing,Friday
2005,Stabbing,Tuesday
2005,Shooting,Friday
2005,Shooting,Friday
2005,Other,Monday
2005,Other,Wednesday
2005,Shooting,Friday
2005,Other,Friday
2005,Shooting,Saturday
2005,Shooting,Tuesday
2005,Shooting,Tuesday
2005,Other,Friday
2005,Shooting,Monday
2005,Shooting,Saturday
2005,Stabbing,Friday
2005,Shooting,Friday
2005,Shooting,Wednesday
