year,homicide_type,count
2004,Other,19
2004,Shooting,26
2004,Stabbing,19
2005,Other,15
2005,Shooting,53
2005,Stabbing,12
2006,Other,19
2006,Shooting,29
2006,Stabbing,22
2007,Other,18
2007,Shooting,44
2007,Stabbing,24
2008,Other,14
2008,Shooting,37
2008,Stabbing,19
2009,Other,11
2009,Shooting,37
2009,Stabbing,14
2010,Other,20
2010,Shooting,32
2010,Stabbing,13
2011,Other,15
2011,Shooting,28
2011,Stabbing,8
2012,Other,16
2012,Shooting,34
2012,Stabbing,7
2013,Other,21
2013,Shooting,22
2013,Stabbing,14
2014,Other,15
2014,Shooting,27
2014,Stabbing,16
2015,Other,15
2015,Shooting,26
2015,Stabbing,18
2016,Other,25
2016,Shooting,41
2016,Stabbing,9
2017,Other,15
2017,Shooting,39
2017,Stabbing,11
2018,Other,27
2018,Shooting,51
2018,Stabbing,20
2019,Other,19
2019,Shooting,44
2019,Stabbing,16
2020,Other,15
2020,Shooting,38
2020,Stabbing,18
2021,Other,23
2021,Shooting,46
2021,Stabbing,16
2022,Other,10
2022,Shooting,44
2022,Stabbing,17
2023,Other,20
2023,Shooting,29
2023,Stabbing,24
