year,day,count_day
2004,Friday,13
2004,Monday,5
2004,Saturday,11
2004,Sunday,6
2004,Thursday,12
2004,Tuesday,5
2004,Wednesday,12
2005,Friday,20
2005,Monday,7
2005,Saturday,14
2005,Sunday,10
2005,Thursday,7
2005,Tuesday,11
2005,Wednesday,11
2006,Friday,10
2006,Monday,13
2006,Saturday,9
2006,Sunday,11
2006,Thursday,10
2006,Tuesday,7
2006,Wednesday,10
2007,Friday,12
2007,Monday,9
2007,Saturday,15
2007,Sunday,17
2007,Thursday,9
2007,Tuesday,12
2007,Wednesday,12
2008,Friday,9
2008,Monday,8
2008,Saturday,11
2008,Sunday,14
2008,Thursday,7
2008,Tuesday,13
2008,Wednesday,8
2009,Friday,5
2009,Monday,7
2009,Saturday,12
2009,Sunday,14
2009,Thursday,4
2009,Tuesday,10
2009,Wednesday,10
2010,Friday,8
2010,Monday,12
2010,Saturday,17
2010,Sunday,9
2010,Thursday,3
2010,Tuesday,5
2010,Wednesday,11
2011,Friday,14
2011,Monday,5
2011,Saturday,11
2011,Sunday,7
2011,Thursday,5
2011,Tuesday,3
2011,Wednesday,6
2012,Friday,5
2012,Monday,12
2012,Saturday,8
2012,Sunday,10
2012,Thursday,9
2012,Tuesday,8
2012,Wednesday,5
2013,Friday,7
2013,Monday,11
2013,Saturday,8
2013,Sunday,12
2013,Thursday,9
2013,Tuesday,5
2013,Wednesday,5
2014,Friday,4
2014,Monday,11
2014,Saturday,11
2014,Sunday,8
2014,Thursday,6
2014,Tuesday,10
2014,Wednesday,8
2015,Friday,10
2015,Monday,6
2015,Saturday,11
2015,Sunday,7
2015,Thursday,5
2015,Tuesday,12
2015,Wednesday,8
2016,Friday,17
2016,Monday,6
2016,Saturday,10
2016,Sunday,18
2016,Thursday,6
2016,Tuesday,8
2016,Wednesday,10
2017,Friday,10
2017,Monday,11
2017,Saturday,10
2017,Sunday,15
2017,Thursday,7
2017,Tuesday,5
2017,Wednesday,7
2018,Friday,14
2018,Monday,23
2018,Saturday,17
2018,Sunday,14
2018,Thursday,7
2018,Tuesday,9
2018,Wednesday,14
2019,Friday,8
2019,Monday,11
2019,Saturday,9
2019,Sunday,15
2019,Thursday,10
2019,Tuesday,12
2019,Wednesday,14
2020,Friday,9
2020,Monday,9
2020,Saturday,13
2020,Sunday,13
2020,Thursday,8
2020,Tuesday,8
2020,Wednesday,11
2021,Friday,19
2021,Monday,9
2021,Saturday,17
2021,Sunday,17
2021,Thursday,9
2021,Tuesday,6
2021,Wednesday,8
2022,Friday,10
2022,Monday,10
2022,Saturday,16
2022,Sunday,11
2022,Thursday,11
2022,Tuesday,6
2022,Wednesday,7
2023,Friday,15
2023,Monday,11
2023,Saturday,13
2023,Sunday,11
2023,Thursday,5
2023,Tuesday,10
2023,Wednesday,8
